Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Argentina,,,1155.8907166871500,850.304578620876,1173.2381052551700,1279.1137784785800,1272.80320400797,1062.5434122744600,1141.080431539790,1329.0585461877800,1322.5906375387400,1372.3741735617400,1408.8653799310800,2097.0228301029500,2844.8633123530800,2027.3372022265900,1948.2246859260200,2129.7083607841300,2146.3649589950700,2520.9207160020100,2758.834816495120,2776.322088256040,2927.8973568513500,3553.377508796840,2659.70824247007,2926.126485316980,3613.621709276380,3562.876058752470,3985.192468749620,2383.8674706553400,4333.483371680240,5735.359980584810,6823.538837104240,6969.119729045720,7483.140334257210,7408.708663631120,7721.354104603550,8213.12512693705,8289.5075682025,7774.736202800010,7708.099114540410,7208.373113553720,2593.4045633680000,3349.8063003103700,4277.721572909540,5109.852244904040,5919.012338377140,7245.446856671970,9020.87332314273,8225.13758261645,10385.964431955500,12848.86419697050,13082.664325572000,13080.254732336600,12334.798245389300,13789.060424772000,12790.242473244700,14613.041824658000,11795.15938662870,10076.355240948100,8585.694742497940,10729.232577721700
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.8559212094100,590.5058755797750,369.70723227654700,357.20284857539300,400.51559376219100,456.37493327627200,504.059842642234,523.2844107003680,609.1716536846600,597.4328987922770,622.7409229452790,694.4234553732280,783.241214960092,930.1254726541230,1191.9210056323800,1643.7568888914600,2158.148074229800,3139.2807103544800,4010.8613808483200,2994.340470908160,3218.3782992741900,3525.8071981355700,3681.844690604940,3838.1738799778600,3986.2316237671100,3607.2892985536100,3591.828052216390,3914.5278543669500,4220.540320791460,4604.646323556930,4266.018074209460,4670.008798001000
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,6474.364948180560,7886.889893054500,9769.584174298160,11395.978016105800,12305.387908253000,13494.685160177400,14048.34727252480,14942.274963289700,16241.575593063300,16441.79063619160,16583.003066378500,17926.782626319400,19080.69578931740,19356.526058409400,20614.799347851800,20417.7759623298,20654.488516763100,21070.071722316800,22834.284648707400,23591.159838373800,24495.01539457150,26452.231949152600,28048.151770649200,25170.832363247600,24134.473859402900,25849.96400603270,25496.84394172160,26442.426800696500,26895.05716653150,28399.0501310163,28453.71556459790,29348.418968591000,30253.714234562600,31135.88435633330,23384.298790745600,
Australia,1810.6192301340200,1877.6166377325000,1854.6568338542200,1967.1165373103200,2131.3779481792500,2281.0987966852300,2343.995290131490,2580.271095711870,2724.372519318840,2991.607197929110,3305.126394310460,3495.579294206710,3950.170893918110,4771.671985973500,6484.119872338850,7005.906587577970,7489.594160328150,7778.164008014660,8255.744543034060,9297.333417173630,10211.837188790900,11854.58849538980,12788.549290120900,11538.39841870950,12454.551717239600,11459.179567837000,11384.938238764700,11645.452593938800,14279.159438794600,17828.048232902300,18243.471418367200,18855.761996420200,18604.188269961300,17667.187099750200,18079.38017937460,20358.3333563413,21904.294117759200,23509.423468451400,21345.970986855200,20558.960402198100,21697.70847977310,19527.323576795400,20117.788891266400,23492.40517422720,30513.94174097480,34080.99989532440,36117.487983674000,41001.14297909990,49654.91059573910,42783.32256511490,52087.97228888900,62574.14570324100,68027.84170673760,68156.62791620840,62511.69058952820,56707.02207721160,49881.763714046400,53934.250175046100,57180.779400161400,54875.2859563352,51680.31652294390,59934.129408889700
Austria,935.4604268504150,1031.815004329100,1087.8342434189000,1167.0005324458400,1269.4125828925600,1374.5321398607500,1486.9686060056500,1569.66718289967,1677.6735280427100,1825.3861255212300,2058.7690508755000,2380.978458017420,2924.0488789910600,3890.72241941969,4630.757197379560,5285.620724141210,5678.386658100190,6810.627684696340,8205.468977150390,9793.765348150170,10869.546494052500,9385.249063983430,9410.34725652989,9537.40742043378,8991.06503963026,9172.096760018320,13083.072662104400,16392.769523474900,17578.61893973960,17468.94613725690,21680.98962331300,22410.91176666550,24880.164118036100,24081.5277928004,25646.700659168400,30325.84958183960,29809.076773082200,26705.47859938910,27361.875110643600,27183.47592639560,24625.600722743300,24558.763677886800,26527.593091034800,32294.04886065580,36889.23351351940,38417.45778576770,40669.32695861520,46915.33740045060,51919.983575422600,48153.32401996320,46903.76158543420,51442.27624644080,48564.917335087400,50731.12725418470,51786.37717479050,44195.81759477490,45307.58786204290,47429.15845643860,51486.57550148240,50114.40110997280,48588.659384792100,53267.93274911320
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234.5308891620700,1209.1876020119400,60.45821357963660,209.47857180978800,157.08605905454800,314.5612263136240,409.16318910647800,505.50034933310500,561.9068078718690,573.9165123340890,655.119945170816,703.6838434327230,763.0806379853580,883.7339714984530,1045.0093791680500,1578.4023902960300,2473.0818186353700,3851.4378687117200,5574.603802186130,4950.294791423750,5843.533768358200,7189.691229207650,7496.294647682640,7875.756952542880,7891.313147499860,5500.310382444080,3880.7387308955600,4147.089715691710,4739.8417102839300,4805.753717659170,4229.910649045030,5384.0349980452100
"Bahamas, The",1550.267698650870,1651.3176731528800,1752.8400056220400,1867.0103505514100,1994.4404971143000,2144.73908940986,2322.705815645470,2556.6342667874900,2804.333876155480,3215.1538970685200,3178.863320025360,3297.4110665117800,3322.2199108302500,3696.031820360400,3416.4393182247900,3156.2508271791200,3328.6159365069500,3617.453069507860,4131.386426579050,5533.251938191470,6340.7870306616200,6624.99245312812,7168.160885085980,7698.083031608880,8877.70591484605,9893.042002907340,10344.322650824200,11156.557252379100,11387.709081798000,12163.439766741600,12356.23099829450,11919.833567682100,11686.739741681300,11406.85813365800,11814.434708844300,12238.604606340900,12708.641453623500,22036.100681020200,23514.17756366140,26130.0129564073,27098.15631867670,27486.236773754400,28867.082497716600,28327.81367066620,28396.01370992780,30279.392208048100,30713.798061818800,31472.28553560160,30627.327746741200,28552.517162471400,28443.888475668900,28005.912404090300,29485.864222827900,28768.7723675108,30154.738617200700,31699.358631747700,31314.844558283000,32371.008175528900,33077.39183424740,33872.3343072665,24665.0968345675,28239.366714200100
Bahrain,,,,,,,,,,,,,,,,,,,,,8537.715870010280,9269.269616529910,9446.084577269930,9421.356946958690,9590.541793968020,8706.766601485020,7041.634447472030,7554.932192316160,7958.747924585400,8031.004819951800,8529.052126709270,9055.644407106300,9082.827988321580,9698.152889989050,10130.376203072900,10376.95329617800,10544.794683191400,10672.23775961930,10076.269878693700,10401.562152167100,13636.416749928800,12868.17691708210,13049.909729164300,14222.036796574800,15846.50594745060,17959.396826719400,19307.50893738770,20976.44228727200,23066.450982437500,19355.921005089500,20722.070490074400,22514.202716483000,23654.36958774950,24744.29695855100,24989.437527708000,22634.085647567400,22608.452562367300,23742.937342415900,24086.301686683700,23552.37994807730,20406.50232566290,22232.32522652920
Bangladesh,89.03523942889320,97.59529170471760,100.12212960015200,101.90141251199300,100.22110418365400,106.64664438536500,112.66536475271300,122.87062847959400,122.84759753108500,135.1473813112410,140.00270531944400,133.55141894134900,94.381677046194,119.55972393113300,182.02001849327500,277.57060523747400,141.19715892410500,131.3732273055930,176.03394743190000,200.76967703901400,227.75192650771400,247.64961677994500,220.71879696320400,204.41769005689100,213.9966385696960,245.45391229142500,233.65807219994700,253.97447372895800,270.69960091462200,285.82921686875500,306.2687008395410,293.16042106958600,293.6449875768710,300.55574772773100,299.53303708805100,329.42407606208000,394.717491899332,401.4986674246870,407.4291761978080,409.5431837680800,418.0689421120380,415.03440428737800,413.0802826380870,446.31067574594400,475.2919301958190,499.46194023915600,509.6401898876040,558.0518407079540,634.9870696685070,702.2644196443110,781.1535776772950,861.7621621810800,883.1171296157210,981.8608513544580,1118.8738078336800,1248.4533098961300,1678.9532303260400,1839.5833780116300,1991.4832665941200,2154.2268185760600,2270.347534791660,2503.0438800842400
Barbados,,,,,,,,,,,,,,,1274.5483724170000,1633.8230121286100,1760.6600935023300,1988.895187538080,2209.767014608870,2667.079583784090,4010.81118962835,4398.824865773290,4580.970530146140,4851.0995550743200,5271.729836427180,5500.414114246550,6019.65324430061,6605.77921864545,6999.876116015870,7717.177448954040,7711.29545617626,7714.742745972810,7444.178173380500,7819.570002685920,8121.561918614720,8335.89929257051,8851.046458003240,9315.967565682310,10459.442470491400,10914.282244899600,11268.42006401210,11209.421124868800,11361.516770717900,11699.370468521600,12512.577965221200,13822.741748697200,15199.390224522500,16770.68777109390,17092.314514346100,15885.969807383200,16056.116847023100,16459.058053749400,16250.012329205800,16452.152707758800,16488.52573209260,16558.864784986800,16909.886547717900,17404.20746962780,17782.87473185760,18480.056592560100,16318.74810527010,17033.937186313900
