year,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
1980,1138.3401478932421,5041.0771414546625,2163.314225534319,2780.2070302316533,12437.776504638237,264.1526142187813,684.0699546412494
1981,1236.2355330182568,4457.05876906959,2417.943427488959,2786.5395865761966,13816.079386413392,273.4632124272717,936.6782302322623
1982,1192.1560492347057,4269.562615400446,2193.1549176543003,2691.7442559974706,14242.845458450378,272.4937563321686,836.5735782459815
1983,1247.5372315146212,4118.551997761429,1880.297424987647,2635.406659360527,15336.6302303339,281.73618694584434,715.6521616582547
1984,1315.3180794799123,3937.5993101667727,1841.345536240279,2600.4879435584003,16803.68988066465,273.9393789100573,609.0623592092393
1985,1376.0849308150375,4050.746142828446,1794.2162800715062,2584.9413881039136,17833.0727412687,291.0571107368718,546.2601289089915
1986,1772.6336387893848,5495.5105898756965,1759.641400903641,2571.0140183612248,18619.663293275036,301.27054611401974,549.3441595704577
1987,2039.897726909404,6876.113537739676,1817.8446607399349,2297.19727625097,19672.459436974554,327.0173250132265,607.2025614541999
1988,2414.961506839778,8273.830991755152,1991.879414312724,2127.48867960139,21172.75339498371,343.58881655081785,632.9180828676363
1989,2464.667019965836,8335.259728697643,2132.525008553866,2147.2794607423207,22644.656500721856,339.1007676951044,626.9182705996604
1990,2532.28950696587,10397.568057548146,2496.8726716550073,2876.326408217945,23645.61431481588,357.08189103597437,716.1546127750084
1991,2818.7530568048314,10719.030097414672,2632.4986164685924,1625.8635365906696,24086.216451796954,310.78657970317266,730.5324738079614
1992,3029.682473611769,11445.48930290099,2823.6946595695445,1745.7250834946587,24967.7063201875,322.9629745302832,649.7344646794602
1993,3354.940676644682,10474.930697917516,3220.106477607905,1964.5037421441623,25765.541553378796,313.1134652737855,594.3688711169035
1994,3759.1081255698923,10926.767124238659,3716.393512018216,2035.7871164937785,26925.46151174408,347.769858344994,562.8387594539937
1995,4224.213066110468,12694.834404934893,3969.962995486846,2585.096161766741,27891.387442918134,378.07752041066686,634.711291686099
1996,4011.0630736387902,12936.201643178196,4227.146039160155,2862.8358732942315,29105.320862510336,405.31141208624575,645.2351486352137
1997,3779.6007716626377,12246.870113756624,4561.160945140754,2952.7493795345576,30518.039618032748,416.81041963586057,652.3846556696856
1998,3341.5967672279517,12557.013213697921,4530.797575492938,2832.5843330550797,31691.917776121598,414.4874930933454,615.0185309632429
1999,3700.138291375011,12404.20858049567,4027.3693542899223,3017.6582570176583,33320.92229460387,435.68770362831924,605.0193198988361
2000,3965.5987413534535,11681.006538704436,4383.115935652365,3318.5708200014174,35151.32960233344,450.52525859106015,626.8870800738113
2001,3657.799046019998,11782.874089733223,4229.850615804088,3240.4970352686487,35831.379374999735,453.1299918640579,586.1256982827659
2002,3685.286263489826,12884.656932477666,3752.688505159137,3163.883187280957,36651.82910772501,469.7121860277027,620.6571715418057
